                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2508,                  1.858,                 1.1273,                0.91679,                0.58504,                0.83656,                0.55713,                 1.0743,                 1.6165,                 1.0287,             0.00041317,             0.00041317,             0.00041317
                      1,                 1.1119,                 1.0196,                 1.0643,                0.81325,                0.81731,                0.89892,                0.58805,                  1.042,                0.89261,                 1.0182,             0.00078876,             0.00078876,             0.00078876
                      2,                 1.1104,                0.91293,                 1.0638,                0.89787,                0.82758,                0.92315,                0.60893,                 1.0319,                0.79425,                 1.0145,              0.0011231,              0.0011231,              0.0011231
                      3,                 1.0875,                0.82304,                 1.0545,                0.89767,                0.86556,                0.93328,                0.61539,                 1.0453,                0.68829,                 1.0354,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.0753,                0.75054,                 1.0481,                0.92314,                0.86248,                 0.9398,                0.62787,                 1.0381,                0.61365,                 1.0201,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0662,                0.70877,                 1.0444,                0.91768,                0.87005,                0.95131,                0.62443,                  1.044,                0.62585,                 1.0237,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.0559,                0.67684,                 1.0397,                0.91763,                0.89326,                0.94818,                0.64567,                0.98891,                0.55964,                 1.0003,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.0105,                0.64245,                 1.0212,                0.91767,                0.90659,                0.95789,                0.64622,                0.98636,                0.54378,                 1.0009,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.0028,                0.61606,                   1.02,                0.94655,                0.89285,                0.96207,                0.66727,                0.95677,                0.50711,                0.98722,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.0022,                0.59849,                 1.0169,                0.92196,                0.91385,                0.96113,                0.67311,                0.95647,                0.50407,                0.98978,               0.000755,               0.000755,               0.000755
                     10,                0.98183,                0.58081,                 1.0141,                 0.9537,                0.90241,                0.96731,                0.66648,                0.95704,                0.48592,                0.99084,             0.00069313,             0.00069313,             0.00069313
                     11,                  0.972,                0.56242,                 1.0048,                0.95273,                0.89813,                0.96696,                0.67159,                0.94936,                0.47947,                0.98221,             0.00063125,             0.00063125,             0.00063125
                     12,                0.95916,                0.55049,                 1.0036,                0.93678,                0.91199,                0.96748,                0.67674,                0.94264,                0.46917,                0.98845,             0.00056938,             0.00056938,             0.00056938
                     13,                0.94585,                0.53713,                 1.0021,                0.94751,                0.92885,                0.97154,                0.67492,                 0.9659,                0.47048,                0.98433,              0.0005075,              0.0005075,              0.0005075
                     14,                0.94329,                 0.5257,                0.99194,                0.94413,                0.92121,                0.96942,                0.68722,                 0.9251,                0.44828,                0.97439,             0.00044563,             0.00044563,             0.00044563
                     15,                0.91656,                0.50592,                0.98603,                0.95757,                0.91976,                0.97385,                0.68974,                 0.9153,                0.43521,                0.97024,             0.00038375,             0.00038375,             0.00038375
                     16,                0.92536,                0.49611,                 0.9875,                0.95222,                0.92156,                0.97363,                0.68276,                 0.9169,                0.42829,                0.97073,             0.00032188,             0.00032188,             0.00032188
                     17,                 0.9147,                0.49684,                0.98761,                0.95992,                0.91952,                0.97449,                0.69446,                0.91136,                0.42495,                0.97052,                0.00026,                0.00026,                0.00026
                     18,                0.88589,                0.47929,                0.97005,                0.95705,                0.91405,                0.97509,                0.68588,                0.92852,                0.42613,                0.97502,             0.00019813,             0.00019813,             0.00019813
                     19,                0.88868,                 0.4717,                0.97345,                0.96978,                0.91183,                0.97593,                 0.6934,                0.91605,                0.41323,                0.97212,             0.00013625,             0.00013625,             0.00013625
